"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"4.5304","0.9554","0.7000","0.6589","0.0000","3.7393","19.8839","0.1881"
"5.1018","0.7363","0.6945","0.7023","0.0026","3.9060","19.2559","0.2028"
"4.1183","1.5642","0.6092","0.6800","0.0000","3.1471","21.1188","0.1490"
"4.3097","1.3451","1.0442","0.5752","0.0000","4.4779","19.5044","0.2296"
"4.1055","1.8352","0.8048","0.6936","0.0004","2.5398","22.0686","0.1151"
"3.9916","1.5189","0.8704","0.5221","0.0028","1.4052","21.3808","0.0657"
"2.6364","1.2194","1.1442","0.2476","0.0000","2.8182","22.1881","0.1270"
"3.6744","0.5629","0.5738","0.3426","0.0000","2.7458","20.0530","0.1369"
"3.7904","1.9888","0.7319","0.6002","0.0137","1.3793","20.9164","0.0659"
"2.9121","1.8022","0.6154","0.5714","0.0000","6.3187","20.5604","0.3073"
"3.7548","1.4612","0.8895","0.5476","0.0051","3.9034","20.1309","0.1939"
"5.2300","1.2605","0.8463","0.4922","0.0006","2.6329","22.3633","0.1177"
"2.7383","1.4299","0.9252","0.6667","0.0125","5.2555","21.8380","0.2407"
"4.1912","1.0157","0.6803","0.5799","0.0000","4.2194","19.8777","0.2123"
"7.0116","1.8497","0.4277","0.5665","0.0000","4.4971","18.5058","0.2430"
"2.4478","1.9522","0.7935","0.6543","0.0000","3.5587","20.5130","0.1735"
"4.8115","1.3345","0.5253","0.4429","0.0012","5.1673","23.3133","0.2216"
"5.7872","1.0426","0.4362","0.7553","0.0000","7.9255","22.7234","0.3488"
"4.6148","1.4603","0.8364","0.5706","0.0000","2.8835","21.2168","0.1359"
"5.0203","0.9951","0.8774","0.5855","0.0000","3.6751","21.3463","0.1722"
"2.4869","0.1598","0.5530","0.2396","0.0000","2.5561","16.4316","0.1556"
"3.1724","0.7241","0.5862","0.0920","0.0000","8.4368","23.5747","0.3579"
"2.9608","2.1906","1.4125","0.5718","0.1514","2.6815","20.0836","0.1335"
"4.6224","1.5237","0.7784","0.5140","0.0000","2.6581","22.8958","0.1161"
"3.6347","1.0404","0.8221","0.5689","0.0116","2.0726","20.4537","0.1013"
"3.2877","0.8596","0.9486","0.8322","0.0000","5.1610","21.4795","0.2403"
"3.8889","0.8935","0.6910","0.1339","0.0000","3.9604","22.3059","0.1776"
"7.0836","1.4205","1.0970","0.2992","0.0000","3.6173","21.8787","0.1653"
"3.5125","1.7375","0.7250","0.5125","0.0000","7.2750","21.5625","0.3374"
"3.3889","1.2222","1.0556","0.2963","0.0000","6.4074","20.4444","0.3134"
